Trading_date,Trading_period,Node,Price
2016-01-06,40,MTR0331,80.27
2016-01-06,41,MTR0331,77.49
2016-01-06,42,MTR0331,77.8
2016-01-06,43,MTR0331,77.54
2016-01-06,44,MTR0331,81.62
2016-01-06,45,MTR0331,82.66
2016-01-06,46,MTR0331,80.32
2016-01-06,47,MTR0331,76.37
2016-01-06,48,MTR0331,73.07
2016-01-07,1,MTR0331,74.43
2016-01-07,2,MTR0331,70.64
2016-01-07,3,MTR0331,60.67
2016-01-07,4,MTR0331,60.38
2016-01-07,5,MTR0331,56.54
2016-01-07,6,MTR0331,56.65
2016-01-07,7,MTR0331,56.65
2016-01-07,8,MTR0331,56.9
2016-01-07,9,MTR0331,58.84
2016-01-07,10,MTR0331,66.85
2016-01-07,11,MTR0331,69.39
2016-01-07,12,MTR0331,75.22
2016-01-07,13,MTR0331,79.25
2016-01-07,14,MTR0331,77.51
2016-01-07,15,MTR0331,65.99
2016-01-07,16,MTR0331,73.71
2016-01-07,17,MTR0331,73.15
2016-01-07,18,MTR0331,73.62
2016-01-07,19,MTR0331,72.92
2016-01-07,20,MTR0331,73
2016-01-07,21,MTR0331,73.8
2016-01-07,22,MTR0331,74.38
2016-01-07,23,MTR0331,73.84
2016-01-07,24,MTR0331,75.16
2016-01-07,25,MTR0331,75.18
2016-01-07,26,MTR0331,76.37
2016-01-07,27,MTR0331,76.93
2016-01-07,28,MTR0331,76.62
2016-01-07,29,MTR0331,77.33
2016-01-07,30,MTR0331,78.34
2016-01-07,31,MTR0331,76.8
2016-01-07,32,MTR0331,76.54
2016-01-07,33,MTR0331,76.32
2016-01-07,34,MTR0331,74.15
2016-01-07,35,MTR0331,59.32
2016-01-07,36,MTR0331,59.64
2016-01-07,37,MTR0331,60.9
2016-01-07,38,MTR0331,60.99
2016-01-07,39,MTR0331,56.74
2016-01-07,40,MTR0331,56.56
2016-01-07,41,MTR0331,76.66
2016-01-07,42,MTR0331,75.51
2016-01-07,43,MTR0331,74.46
2016-01-07,44,MTR0331,75.27
2016-01-07,45,MTR0331,80.48
2016-01-07,46,MTR0331,74.2
2016-01-07,47,MTR0331,70.85
2016-01-07,48,MTR0331,71.7
2016-01-08,1,MTR0331,84.42
2016-01-08,2,MTR0331,81.3
2016-01-08,3,MTR0331,74.71
2016-01-08,4,MTR0331,67.71
2016-01-08,5,MTR0331,67.83
2016-01-08,6,MTR0331,65.69
2016-01-08,7,MTR0331,66.95
2016-01-08,8,MTR0331,66.85
2016-01-08,9,MTR0331,66.48
2016-01-08,10,MTR0331,68.23
2016-01-08,11,MTR0331,75.44
2016-01-08,12,MTR0331,74.61
2016-01-08,13,MTR0331,82.15
2016-01-08,14,MTR0331,77.61
2016-01-08,15,MTR0331,72.47
2016-01-08,16,MTR0331,76.5
2016-01-08,17,MTR0331,77.11
2016-01-08,18,MTR0331,82.87
2016-01-08,19,MTR0331,77.4
2016-01-08,20,MTR0331,79.72
2016-01-08,21,MTR0331,83.26
2016-01-08,22,MTR0331,86.48
2016-01-08,23,MTR0331,86.58
2016-01-08,24,MTR0331,91.57
2016-01-08,25,MTR0331,102.57
2016-01-08,26,MTR0331,88.5
2016-01-08,27,MTR0331,89.01
2016-01-08,28,MTR0331,86.93
2016-01-08,29,MTR0331,85.95
2016-01-08,30,MTR0331,85.44
2016-01-08,31,MTR0331,84.01
2016-01-08,32,MTR0331,83.24
2016-01-08,33,MTR0331,84.14
2016-01-08,34,MTR0331,88.36
2016-01-08,35,MTR0331,84.88
2016-01-08,36,MTR0331,84.39
2016-01-08,37,MTR0331,84.15
2016-01-08,38,MTR0331,75.51
2016-01-08,39,MTR0331,63
2016-01-08,40,MTR0331,62.89
2016-01-08,41,MTR0331,72.73
2016-01-08,42,MTR0331,73.7
2016-01-08,43,MTR0331,77.57
2016-01-08,44,MTR0331,79.61
2016-01-08,45,MTR0331,78.42
2016-01-08,46,MTR0331,72.62
2016-01-08,47,MTR0331,73.34
2016-01-08,48,MTR0331,66.47
2016-01-09,1,MTR0331,80.75
2016-01-09,2,MTR0331,68.89
2016-01-09,3,MTR0331,66.5
2016-01-09,4,MTR0331,65.79
2016-01-09,5,MTR0331,64.82
2016-01-09,6,MTR0331,64.17
2016-01-09,7,MTR0331,62.81
2016-01-09,8,MTR0331,61.29
2016-01-09,9,MTR0331,61.38
2016-01-09,10,MTR0331,62.6
2016-01-09,11,MTR0331,65.57
2016-01-09,12,MTR0331,66.54
2016-01-09,13,MTR0331,65.23
2016-01-09,14,MTR0331,65.49
2016-01-09,15,MTR0331,70.47
2016-01-09,16,MTR0331,70.78
2016-01-09,17,MTR0331,66.68
2016-01-09,18,MTR0331,72.08
2016-01-09,19,MTR0331,72.06
2016-01-09,20,MTR0331,70.68
2016-01-09,21,MTR0331,75.38
2016-01-09,22,MTR0331,64.25
2016-01-09,23,MTR0331,61.93
2016-01-09,24,MTR0331,56.38
2016-01-09,25,MTR0331,61.23
